,0,1,2,3,4,5,6,7,8,9
0,7.0710678118654755,6.4031242374328485,5.830951894845301,5.385164807134504,5.0990195135927845,5.0,5.0990195135927845,5.385164807134504,5.830951894845301,6.4031242374328485
1,6.4031242374328485,5.656854249492381,5.0,4.47213595499958,4.123105625617661,4.0,4.123105625617661,4.47213595499958,5.0,5.656854249492381
2,5.830951894845301,5.0,4.242640687119285,3.605551275463989,3.1622776601683795,3.0,3.1622776601683795,3.605551275463989,4.242640687119285,5.0
3,5.385164807134504,4.47213595499958,3.605551275463989,2.8284271247461903,2.23606797749979,2.0,2.23606797749979,2.8284271247461903,3.605551275463989,4.47213595499958
4,5.0990195135927845,4.123105625617661,3.1622776601683795,2.23606797749979,1.4142135623730951,1.0,1.4142135623730951,2.23606797749979,3.1622776601683795,4.123105625617661
5,5.0,4.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0
6,5.0990195135927845,4.123105625617661,3.1622776601683795,2.23606797749979,1.4142135623730951,1.0,1.4142135623730951,2.23606797749979,3.1622776601683795,4.123105625617661
7,5.385164807134504,4.47213595499958,3.605551275463989,2.8284271247461903,2.23606797749979,2.0,2.23606797749979,2.8284271247461903,3.605551275463989,4.47213595499958
8,5.830951894845301,5.0,4.242640687119285,3.605551275463989,3.1622776601683795,3.0,3.1622776601683795,3.605551275463989,4.242640687119285,5.0
9,6.4031242374328485,5.656854249492381,5.0,4.47213595499958,4.123105625617661,4.0,4.123105625617661,4.47213595499958,5.0,5.656854249492381
