minx,miny,maxx,maxy,comment
-74.0389216,40.6950889,-73.914503,40.78092,./data/buildings.geojson
-74.04213846,40.69255252,-73.91339242,40.77874599,scraper_bounds
580931.3574,4505069.487,591691.0882,4514764.153,scraper_bounds_utm
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.04448270797731,40.693732053818295,-73.9083230495453,40.778656624072006,scraper_bounds
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.04169857501985,40.693732053818295,-73.91387522220613,40.78061861034978,scraper_bounds
580931.3573873275,4505069.4870425165,591691.0882058472,4514764.153251201,scraper_bounds_utm
580731.8612240312,4505198.265710953,592118.9874972573,4514759.5446413765,scraper_bounds_utm
580967.0965427432,4505200.827534691,591647.7731143353,4514971.524873761,scraper_bounds_utm
580931.3573873275,4505069.4870425165,591691.0882058472,4514764.153251201,scraper_bounds_utm
580731.8612240312,4505198.265710953,592118.9874972573,4514759.5446413765,scraper_bounds_utm
580967.0965427432,4505200.827534691,591647.7731143353,4514971.524873761,scraper_bounds_utm
580931.3573873275,4505069.4870425165,591691.0882058472,4514764.153251201,scraper_bounds_utm
580731.8612240312,4505198.265710953,592118.9874972573,4514759.5446413765,scraper_bounds_utm
580967.0965427432,4505200.827534691,591647.7731143353,4514971.524873761,scraper_bounds_utm
580931.3573873275,4505069.4870425165,591691.0882058472,4514764.153251201,scraper_bounds_utm
580731.8612240312,4505198.265710953,592118.9874972573,4514759.5446413765,scraper_bounds_utm
580967.0965427432,4505200.827534691,591647.7731143353,4514971.524873761,scraper_bounds_utm
580931.3573873275,4505069.4870425165,591691.0882058472,4514764.153251201,scraper_bounds_utm
580731.8612240312,4505198.265710953,592118.9874972573,4514759.5446413765,scraper_bounds_utm
580967.0965427432,4505200.827534691,591647.7731143353,4514971.524873761,scraper_bounds_utm
580931.3573873275,4505069.4870425165,591691.0882058472,4514764.153251201,scraper_bounds_utm
580731.8612240312,4505198.265710953,592118.9874972573,4514759.5446413765,scraper_bounds_utm
580967.0965427432,4505200.827534691,591647.7731143353,4514971.524873761,scraper_bounds_utm
580931.3573873275,4505069.4870425165,591691.0882058472,4514764.153251201,scraper_bounds_utm
580731.8612240312,4505198.265710953,592118.9874972573,4514759.5446413765,scraper_bounds_utm
580967.0965427432,4505200.827534691,591647.7731143353,4514971.524873761,scraper_bounds_utm
580931.3573873275,4505069.4870425165,591691.0882058472,4514764.153251201,scraper_bounds_utm
580731.8612240312,4505198.265710953,592118.9874972573,4514759.5446413765,scraper_bounds_utm
580967.0965427432,4505200.827534691,591647.7731143353,4514971.524873761,scraper_bounds_utm
580931.3573873275,4505069.4870425165,591691.0882058472,4514764.153251201,scraper_bounds_utm
580731.8612240312,4505198.265710953,592118.9874972573,4514759.5446413765,scraper_bounds_utm
580967.0965427432,4505200.827534691,591647.7731143353,4514971.524873761,scraper_bounds_utm
-74.03282540000002,40.6972376,-73.95697209999999,40.74079860000001,data/geojson/buildings.geojson
-74.03282540000001,40.6972376,-73.95697209999999,40.740798600000005,data/geojson/buildings.geojson
-74.04031187295915,40.69440926118131,-73.91248852014543,40.77993821794549,scraper_bounds
